Date,Open,High,Low,Close,Volume,Adj Close
2017-03-31,37.33,37.56,36.86,36.885,493100,36.885
2017-03-30,36.80,37.60,36.63,37.52,475300,37.52
2017-03-29,35.615,36.53,35.53,36.485,475400,36.485
2017-03-28,35.80,35.945,35.435,35.63,337100,35.63
2017-03-27,35.455,35.71,35.435,35.655,302800,35.655
2017-03-24,36.30,36.50,35.805,35.96,305700,35.96
2017-03-23,36.475,36.69,36.20,36.415,491500,36.415
2017-03-22,36.085,36.675,35.805,36.505,482700,36.505
2017-03-21,36.30,36.765,36.215,36.31,318200,36.31
2017-03-20,36.31,36.775,36.12,36.32,463900,36.32
2017-03-17,37.00,37.19,36.50,36.50,1524200,36.50
2017-03-16,36.525,37.45,36.50,37.135,599800,37.135
2017-03-15,36.37,36.85,36.265,36.265,416800,36.265
2017-03-14,37.18,37.325,36.215,36.27,440400,36.27
2017-03-13,36.705,37.315,36.70,37.175,424500,37.175
2017-03-10,36.30,37.44,36.22,36.755,596500,36.755
2017-03-09,36.555,36.645,35.935,36.42,501100,36.42
2017-03-08,36.92,37.08,36.575,36.97,298300,36.97
2017-03-07,36.50,37.10,36.24,36.92,606500,36.92
2017-03-06,36.45,36.62,36.02,36.365,315300,36.365
2017-03-03,36.40,36.55,36.115,36.47,312600,36.47
2017-03-02,36.50,36.855,36.40,36.72,427300,36.72
2017-03-01,36.39,36.965,36.30,36.56,386200,36.56
2017-02-28,35.785,36.33,35.785,36.06,505500,36.06
2017-02-27,35.95,36.355,35.515,36.07,403600,36.07
2017-02-24,36.75,36.885,35.77,36.095,551700,36.095
2017-02-23,35.90,36.72,35.795,36.63,612300,36.63
2017-02-22,35.56,35.89,35.345,35.625,455000,35.625
2017-02-21,35.165,35.785,35.165,35.61,410300,35.61
2017-02-20,35.07,35.59,35.02,35.26,368200,35.26
2017-02-17,34.685,35.205,34.03,35.205,947400,35.205
2017-02-16,33.595,34.635,33.50,34.47,877200,34.47
2017-02-15,33.275,33.835,33.155,33.54,470800,33.54
2017-02-14,33.585,33.635,33.385,33.385,305600,33.385
2017-02-13,33.27,33.795,33.27,33.52,391800,33.52
2017-02-10,33.345,33.695,32.885,33.695,325300,33.695
2017-02-09,32.58,33.33,32.58,33.33,390900,33.33
2017-02-08,32.745,32.91,32.465,32.72,305900,32.72
2017-02-07,33.255,33.43,32.96,32.975,277400,32.975
2017-02-06,33.42,33.71,33.21,33.50,235500,33.50
2017-02-03,33.33,33.68,33.19,33.46,316400,33.46
2017-02-02,33.015,33.645,33.015,33.44,532000,33.44
2017-02-01,32.48,33.29,32.48,33.255,490700,33.255
2017-01-31,32.50,33.245,32.20,32.365,415400,32.365
2017-01-30,33.13,33.215,32.675,32.845,276100,32.845
2017-01-27,33.74,33.76,33.25,33.42,248400,33.42
2017-01-26,33.955,34.00,33.44,33.705,340600,33.705
2017-01-25,33.465,34.145,33.195,34.105,560200,34.105
2017-01-24,33.26,33.635,33.045,33.19,285200,33.19
2017-01-23,33.70,33.765,31.20,33.345,503200,33.345
2017-01-20,33.655,34.075,33.615,34.075,218100,34.075
2017-01-19,33.84,34.10,33.65,33.93,284100,33.93
2017-01-18,33.80,34.045,33.64,34.045,335100,34.045
2017-01-17,33.75,33.96,33.625,33.875,297400,33.875
2017-01-16,33.815,34.245,33.56,33.875,255500,33.875
2017-01-13,34.01,34.44,33.95,34.325,406100,34.325
2017-01-12,33.765,34.23,33.765,34.13,404300,34.13
2017-01-11,33.68,34.08,33.545,34.06,416100,34.06
2017-01-10,33.785,34.04,33.565,33.775,544300,33.775
2017-01-09,34.455,34.46,33.74,34.045,431600,34.045
2017-01-06,34.645,34.645,34.645,34.645,000,34.645
2017-01-05,34.15,34.645,34.15,34.645,390500,34.645
2017-01-04,34.76,34.83,34.04,34.385,388400,34.385
2017-01-03,34.21,34.98,34.21,34.70,431500,34.70
2017-01-02,33.375,34.175,33.31,34.16,243100,34.16
2016-12-30,33.825,34.00,33.56,33.56,289200,33.56
2016-12-29,33.90,34.775,33.825,34.775,445900,34.775
2016-12-28,33.995,34.185,33.91,34.03,287400,34.03
2016-12-27,33.875,34.10,33.50,33.93,145000,33.93
2016-12-26,33.99,33.99,33.99,33.99,000,33.99
2016-12-23,33.50,34.20,33.50,33.99,272300,33.99
2016-12-22,34.00,34.25,33.555,34.02,326500,34.02
2016-12-21,34.06,34.34,33.72,34.31,385000,34.31
2016-12-20,33.445,34.295,33.37,34.295,489100,34.295
2016-12-19,33.895,33.895,33.235,33.53,463000,33.53
2016-12-16,32.86,34.14,32.85,34.10,1191300,34.10
2016-12-15,32.50,32.86,32.175,32.835,691100,32.835
2016-12-14,32.24,32.50,31.705,32.47,597000,32.47
2016-12-13,31.755,32.425,31.505,32.325,771700,32.325
2016-12-12,32.00,32.45,31.74,32.005,711500,32.005
2016-12-09,31.35,31.98,31.30,31.80,929500,31.80
2016-12-08,31.13,31.13,31.13,31.13,000,31.13
2016-12-07,30.78,31.145,30.78,31.13,508900,31.13
2016-12-06,30.38,30.98,30.30,30.755,561600,30.755
2016-12-05,30.04,30.655,30.04,30.415,339800,30.415
2016-12-02,30.32,30.60,29.96,30.34,513500,30.34
2016-12-01,30.69,30.95,30.23,30.575,549400,30.575
2016-11-30,29.47,30.495,29.47,30.495,765100,30.495
2016-11-29,29.565,29.82,29.23,29.675,370200,29.675
2016-11-28,30.02,30.39,29.61,29.84,314300,29.84
2016-11-25,30.28,30.565,30.13,30.255,279300,30.255
2016-11-24,29.715,30.565,29.50,30.565,349100,30.565
2016-11-23,29.89,30.45,29.86,30.265,629100,30.265
2016-11-22,29.68,30.00,29.635,30.00,470200,30.00
2016-11-21,28.815,29.70,28.815,29.635,364300,29.635
2016-11-18,29.30,29.36,28.865,29.08,309200,29.08
2016-11-17,29.125,29.40,29.01,29.40,462700,29.40
2016-11-16,29.235,29.395,29.055,29.16,455000,29.16
2016-11-15,28.655,29.39,28.655,29.32,364800,29.32
2016-11-14,28.94,29.285,28.395,28.66,369100,28.66
2016-11-11,29.00,29.29,28.79,28.905,533600,28.905
2016-11-10,28.50,29.40,28.50,29.40,746200,29.40
2016-11-09,27.215,28.745,26.81,28.50,592100,28.50
2016-11-08,28.27,28.58,28.25,28.40,364100,28.40
2016-11-07,28.035,28.395,28.035,28.355,412200,28.355
2016-11-04,28.095,28.305,27.92,27.93,327100,27.93
2016-11-03,28.105,28.545,27.955,28.265,477100,28.265
2016-11-01,28.475,28.475,28.475,28.475,000,28.475
2016-10-31,28.20,28.74,28.01,28.475,457800,28.475
2016-10-28,28.61,28.935,28.40,28.90,375100,28.90
2016-10-27,28.50,28.735,28.165,28.71,587600,28.71
2016-10-26,28.365,28.365,28.365,28.365,000,28.365
2016-10-25,28.00,28.565,27.995,28.365,610100,28.365
2016-10-24,27.645,28.15,27.645,28.01,478300,28.01
2016-10-21,27.35,27.85,27.32,27.695,398700,27.695
2016-10-20,27.41,27.80,27.00,27.585,541800,27.585
2016-10-19,27.77,27.875,27.58,27.58,647700,27.58
2016-10-18,27.20,27.75,27.20,27.71,440300,27.71
2016-10-17,27.21,27.45,27.01,27.09,447400,27.09
2016-10-14,27.00,27.71,27.00,27.475,494000,27.475
2016-10-13,26.61,27.20,26.465,26.985,605800,26.985
2016-10-12,26.535,27.035,26.49,26.74,571900,26.74
