Date,Open,High,Low,Close,Volume,Adj Close
2017-03-31,20.95,21.165,20.855,21.155,554500,21.155
2017-03-30,21.295,21.295,20.955,21.105,502700,21.105
2017-03-29,21.20,21.43,20.865,21.145,622600,21.145
2017-03-28,20.76,21.095,20.67,21.01,672100,21.01
2017-03-27,20.70,20.86,20.51,20.555,420900,20.555
2017-03-24,21.09,21.18,20.70,20.97,885900,20.97
2017-03-23,20.94,21.05,20.825,21.05,663100,21.05
2017-03-22,21.02,21.03,20.55,20.80,1659500,20.80
2017-03-21,22.35,22.82,21.97,22.03,617700,22.03
2017-03-20,22.165,22.255,21.965,22.255,522400,22.255
2017-03-17,22.08,22.275,21.865,22.005,1865800,22.005
2017-03-16,22.78,22.895,22.055,22.155,876200,22.155
2017-03-15,22.65,22.84,22.135,22.175,512300,22.175
2017-03-14,23.04,23.045,22.46,22.60,581800,22.60
2017-03-13,22.735,23.30,22.60,23.13,622300,23.13
2017-03-10,22.535,22.945,22.395,22.83,844000,22.83
2017-03-09,22.465,22.785,22.12,22.45,703000,22.45
2017-03-08,22.39,22.59,22.16,22.53,406000,22.53
2017-03-07,22.215,22.53,21.96,22.53,538800,22.53
2017-03-06,22.315,22.77,22.31,22.325,553200,22.325
2017-03-03,22.795,22.955,22.45,22.715,554400,22.715
2017-03-02,21.925,22.895,21.925,22.85,1123300,22.85
2017-03-01,21.495,22.175,21.31,21.97,990100,21.97
2017-02-28,20.655,21.16,20.63,20.96,808500,20.96
2017-02-27,21.005,21.355,20.75,20.78,590000,20.78
2017-02-24,21.40,21.43,20.60,21.12,618700,21.12
2017-02-23,21.40,21.675,21.18,21.325,646900,21.325
2017-02-22,22.00,22.135,21.35,21.50,629600,21.50
2017-02-21,21.705,22.14,21.69,22.10,409100,22.10
2017-02-20,22.005,22.20,21.81,21.905,201900,21.905
2017-02-17,22.395,22.485,21.805,21.95,624500,21.95
2017-02-16,22.35,22.46,22.17,22.305,658900,22.305
2017-02-15,22.05,22.345,21.965,22.345,638100,22.345
2017-02-14,21.995,22.005,21.815,22.005,342900,22.005
2017-02-13,21.625,21.995,21.545,21.99,640900,21.99
2017-02-10,21.535,22.05,21.135,22.05,1187300,22.05
2017-02-09,20.28,21.595,20.15,21.595,1093600,21.595
2017-02-08,20.63,20.80,19.67,20.335,1064800,20.335
2017-02-07,20.86,21.07,20.515,20.65,445700,20.65
2017-02-06,21.32,21.36,20.805,21.07,403200,21.07
2017-02-03,21.40,21.40,20.80,21.24,530300,21.24
2017-02-02,20.87,21.365,20.87,21.275,728300,21.275
2017-02-01,20.70,21.31,20.67,20.995,519000,20.995
2017-01-31,20.415,20.975,20.34,20.55,882600,20.55
2017-01-30,21.00,21.00,20.555,20.585,647500,20.585
2017-01-27,21.065,21.065,20.48,21.00,871900,21.00
2017-01-26,21.275,21.595,21.11,21.31,1043400,21.31
2017-01-25,19.60,21.39,19.60,21.39,2059300,21.39
2017-01-24,19.205,19.455,19.155,19.295,571500,19.295
2017-01-23,19.355,19.47,19.10,19.31,536400,19.31
2017-01-20,19.35,19.585,19.24,19.52,490900,19.52
2017-01-19,19.10,19.595,19.07,19.50,779300,19.50
2017-01-18,19.275,19.555,19.025,19.385,472800,19.385
2017-01-17,19.61,19.75,19.24,19.385,500000,19.385
2017-01-16,19.505,19.67,19.23,19.66,541200,19.66
2017-01-13,19.83,19.84,19.60,19.70,669900,19.70
2017-01-12,19.50,19.94,19.31,19.80,928800,19.80
2017-01-11,19.005,19.495,18.915,19.385,863200,19.385
2017-01-10,18.88,19.175,18.735,19.02,597100,19.02
2017-01-09,18.80,19.25,18.73,18.98,787900,18.98
2017-01-06,18.71,18.71,18.71,18.71,000,18.71
2017-01-05,18.335,18.79,18.335,18.71,568500,18.71
2017-01-04,18.63,18.83,18.40,18.40,603400,18.40
2017-01-03,17.875,18.845,17.80,18.725,923400,18.725
2017-01-02,17.415,17.80,17.415,17.665,287100,17.665
2016-12-30,17.43,17.75,17.32,17.38,256700,17.38
2016-12-29,17.68,17.795,17.53,17.575,275400,17.575
2016-12-28,17.89,17.89,17.585,17.815,259700,17.815
2016-12-27,17.80,17.875,17.695,17.75,137800,17.75
2016-12-26,17.77,17.77,17.77,17.77,000,17.77
2016-12-23,17.77,18.13,17.465,17.77,426700,17.77
2016-12-22,17.815,18.05,17.725,17.745,379800,17.745
2016-12-21,17.86,18.175,17.725,17.76,559100,17.76
2016-12-20,17.80,18.01,17.605,17.99,543600,17.99
2016-12-19,18.03,18.255,17.77,17.79,582500,17.79
2016-12-16,18.20,18.45,18.10,18.14,1226300,18.14
2016-12-15,18.23,18.545,18.205,18.205,831600,18.205
2016-12-14,18.24,18.43,18.05,18.29,686200,18.29
2016-12-13,17.865,18.28,17.815,18.235,859000,18.235
2016-12-12,17.77,18.005,17.685,18.005,800600,18.005
2016-12-09,17.705,18.035,17.30,17.60,1631900,17.60
2016-12-08,18.03,18.03,18.03,18.03,000,18.03
2016-12-07,18.06,18.345,17.835,18.03,816100,18.03
2016-12-06,17.265,18.04,17.10,17.99,1159800,17.99
2016-12-05,16.90,17.475,16.66,17.135,874500,17.135
2016-12-02,17.445,17.545,16.855,16.855,785400,16.855
2016-12-01,17.035,17.67,17.03,17.59,951100,17.59
2016-11-30,17.00,17.185,16.715,17.185,1211000,17.185
2016-11-29,16.265,17.04,15.52,17.04,1091200,17.04
2016-11-28,16.80,16.835,16.34,16.475,556100,16.475
2016-11-25,17.00,17.04,16.755,16.925,536800,16.925
2016-11-24,16.98,17.14,16.86,16.98,510200,16.98
2016-11-23,17.00,17.00,16.655,16.99,633700,16.99
2016-11-22,16.68,16.995,16.61,16.995,588600,16.995
2016-11-21,16.50,16.87,16.43,16.67,615200,16.67
2016-11-18,16.475,16.88,16.36,16.595,981500,16.595
2016-11-17,16.335,16.50,15.98,16.50,1110100,16.50
2016-11-16,15.85,16.475,15.835,16.46,1423800,16.46
2016-11-15,15.80,15.85,15.45,15.85,747300,15.85
2016-11-14,15.635,15.80,15.63,15.80,721900,15.80
2016-11-11,15.60,15.65,15.22,15.50,643500,15.50
2016-11-10,15.315,15.69,15.315,15.53,1314900,15.53
2016-11-09,14.235,15.20,14.05,15.20,1469400,15.20
2016-11-08,14.75,15.235,14.71,15.235,719300,15.235
2016-11-07,14.965,14.98,14.71,14.71,454500,14.71
2016-11-04,14.67,14.87,14.43,14.805,526900,14.805
2016-11-03,14.35,14.98,14.14,14.98,703200,14.98
2016-11-01,14.93,14.93,14.93,14.93,000,14.93
2016-10-31,15.23,15.32,14.77,14.93,866200,14.93
2016-10-28,15.235,15.45,15.12,15.45,540900,15.45
2016-10-27,14.90,15.385,14.89,15.385,896600,15.385
2016-10-26,15.14,15.14,15.14,15.14,000,15.14
2016-10-25,15.02,15.14,14.82,15.14,613900,15.14
2016-10-24,14.655,15.085,14.655,15.05,944300,15.05
2016-10-21,14.675,14.75,14.505,14.685,443100,14.685
2016-10-20,14.40,14.705,14.285,14.705,764100,14.705
2016-10-19,14.31,14.46,14.235,14.46,605700,14.46
2016-10-18,14.25,14.435,14.245,14.39,473300,14.39
2016-10-17,14.10,14.285,14.07,14.23,411900,14.23
2016-10-14,13.83,14.245,13.83,14.20,456200,14.20
2016-10-13,14.275,14.275,13.20,13.875,745200,13.875
2016-10-12,14.235,14.445,14.21,14.325,416900,14.325
2016-10-11,14.20,14.315,14.07,14.225,377600,14.225
2016-10-10,14.04,14.415,13.835,14.41,655700,14.41
2016-10-07,14.145,14.37,14.005,14.155,713600,14.155
2016-10-06,14.00,14.385,13.98,14.19,1027300,14.19
2016-10-05,13.80,13.99,13.695,13.99,477100,13.99
2016-10-04,13.50,13.89,13.45,13.89,715200,13.89
2016-10-03,13.50,13.70,13.40,13.59,327200,13.59
2016-09-30,13.275,13.68,13.01,13.555,839700,13.555
2016-09-29,13.645,13.68,13.435,13.56,414900,13.56
2016-09-28,13.07,13.695,13.07,13.51,778600,13.51
2016-09-27,13.185,13.38,13.05,13.29,441500,13.29
2016-09-26,13.415,13.465,13.05,13.295,409800,13.295
2016-09-23,13.485,13.56,13.28,13.56,373900,13.56
2016-09-22,13.45,13.735,13.425,13.54,554700,13.54
2016-09-21,13.38,13.595,13.375,13.495,546500,13.495
2016-09-20,13.26,13.37,13.15,13.265,459400,13.265
2016-09-19,13.22,13.305,13.14,13.22,493500,13.22
2016-09-16,13.14,13.28,12.95,13.14,951100,13.14
2016-09-15,13.055,13.315,13.055,13.315,487000,13.315
2016-09-14,13.375,13.375,13.10,13.175,553300,13.175
2016-09-13,13.46,13.555,13.21,13.285,556500,13.285
2016-09-12,13.18,13.44,12.895,13.385,522700,13.385
2016-09-09,13.125,13.64,13.125,13.46,1009600,13.46
2016-09-08,12.895,13.27,12.895,13.20,664600,13.20
2016-09-07,12.785,12.995,12.64,12.91,533900,12.91
2016-09-06,12.90,12.98,12.75,12.76,402600,12.76
2016-09-05,12.97,12.99,12.86,12.88,321900,12.88
2016-09-02,12.70,13.02,12.575,12.96,579600,12.96
2016-09-01,12.775,13.04,12.655,12.705,835900,12.705
2016-08-31,12.33,12.855,12.31,12.74,1169100,12.74
2016-08-30,12.25,12.565,12.25,12.45,600100,12.45
2016-08-29,11.99,12.35,11.96,12.25,809200,12.25
2016-08-26,11.90,12.105,11.90,12.06,470500,12.06
2016-08-25,11.90,12.075,11.90,11.955,344000,11.955
2016-08-24,11.54,12.065,11.52,12.00,801200,12.00
2016-08-23,11.25,11.675,11.10,11.635,768200,11.635
2016-08-22,11.525,11.835,11.47,11.505,885500,11.505
2016-08-19,11.545,11.58,11.27,11.465,471500,11.465
2016-08-18,11.795,12.11,11.46,11.515,612100,11.515
