Date,Open,High,Low,Close,Volume,Adj Close
2017-03-31,863.65,864.10,859.10,859.10,800,859.10
2017-03-30,872.45,873.95,867.95,872.50,100,872.50
2017-03-29,867.15,884.00,855.00,855.00,100,855.00
2017-03-28,854.85,858.60,854.45,855.00,100,855.00
2017-03-27,852.30,854.70,846.50,847.50,800,847.50
2017-03-24,854.75,862.25,852.70,857.00,400,857.00
2017-03-23,860.60,862.75,858.60,859.70,1800,859.70
2017-03-22,871.85,883.95,869.65,878.80,1600,878.80
2017-03-21,878.75,878.75,867.35,867.35,900,867.35
2017-03-20,868.25,875.45,867.35,872.45,2900,872.45
2017-03-17,865.85,867.35,862.00,867.35,2600,867.35
2017-03-16,859.15,864.15,858.30,861.50,1900,861.50
2017-03-15,849.40,852.70,847.95,849.60,400,849.60
2017-03-14,841.45,842.00,838.90,840.00,1800,840.00
2017-03-13,823.90,826.90,805.70,825.20,700,825.20
2017-03-10,815.80,818.45,814.70,814.70,1000,814.70
2017-03-09,821.15,821.15,812.55,814.75,700,814.75
2017-03-08,827.40,827.85,820.75,822.05,1100,822.05
2017-03-07,821.10,823.00,817.75,817.75,800,817.75
2017-03-06,815.00,815.35,810.30,812.35,500,812.35
2017-03-03,810.75,817.00,808.40,817.00,1300,817.00
2017-03-02,810.85,820.70,810.85,818.50,1200,818.50
2017-03-01,794.40,800.00,794.30,794.40,900,794.40
2017-02-28,800.05,810.00,796.80,810.00,600,810.00
2017-02-27,790.85,791.00,788.15,790.05,100,790.05
2017-02-24,792.50,795.10,788.15,791.05,800,791.05
2017-02-23,813.90,814.95,809.50,814.55,2100,814.55
2017-02-22,810.95,815.00,809.30,815.00,700,815.00
2017-02-21,802.75,807.85,800.60,807.85,500,807.85
2017-02-20,789.95,803.00,789.50,797.95,1300,797.95
2017-02-17,770.05,772.25,766.45,771.00,1100,771.00
2017-02-16,781.15,785.10,780.30,783.80,1900,783.80
2017-02-15,779.40,796.05,779.40,796.05,2600,796.05
2017-02-14,774.60,774.60,761.30,774.60,1000,774.60
2017-02-13,772.50,789.05,769.35,774.00,800,774.00
2017-02-10,781.80,792.30,779.00,792.30,100,792.30
2017-02-09,783.95,786.50,780.65,784.30,400,784.30
2017-02-08,785.80,787.65,784.70,784.75,200,784.75
2017-02-07,793.00,799.95,789.10,793.10,1200,793.10
2017-02-06,804.15,808.95,802.65,808.05,800,808.05
2017-02-03,799.65,801.10,797.10,800.30,100,800.30
2017-02-02,791.10,799.85,791.10,799.40,500,799.40
2017-02-01,782.45,786.15,769.80,769.80,1200,769.80
2017-01-31,787.60,793.95,781.55,793.95,900,793.95
2017-01-30,785.80,789.50,781.95,781.95,500,781.95
2017-01-27,790.40,790.40,781.55,784.95,1100,784.95
2017-01-26,797.50,811.15,786.25,787.20,3100,787.20
2017-01-25,783.80,810.00,782.15,810.00,1600,810.00
2017-01-24,756.85,763.65,755.95,762.90,1900,762.90
2017-01-23,751.85,755.05,749.25,750.85,800,750.85
2017-01-20,743.00,743.80,732.20,733.60,3900,733.60
2017-01-19,744.05,745.00,740.95,742.70,1000,742.70
2017-01-18,740.00,740.00,732.25,734.45,2500,734.45
2017-01-17,740.85,740.90,727.60,727.60,2900,727.60
2017-01-16,732.00,733.45,727.45,727.50,1700,727.50
2017-01-13,749.45,750.30,745.15,748.45,800,748.45
2017-01-12,763.20,765.00,758.50,763.45,1100,763.45
2017-01-11,758.10,758.30,751.50,755.00,2100,755.00
2017-01-10,736.10,736.65,733.75,734.25,1500,734.25
2017-01-09,732.30,736.05,730.85,736.00,1800,736.00
2017-01-06,714.70,719.60,712.95,713.00,3900,713.00
2017-01-05,711.60,714.75,702.55,706.95,800,706.95
2017-01-04,718.65,721.70,715.00,715.00,1400,715.00
2017-01-03,724.30,744.95,724.15,725.00,600,725.00
2017-01-02,710.00,713.90,710.00,713.90,000,713.90
2016-12-30,706.00,714.70,706.00,710.00,600,710.00
2016-12-29,717.35,720.35,711.15,712.55,400,712.55
2016-12-28,714.30,714.30,714.30,714.30,000,714.30
2016-12-27,710.00,714.75,710.00,714.30,100,714.30
2016-12-26,710.00,710.00,710.00,710.00,000,710.00
2016-12-23,709.70,710.30,704.35,710.00,900,710.00
2016-12-22,721.65,721.70,713.75,714.35,800,714.35
2016-12-21,725.40,727.10,716.75,726.95,700,726.95
2016-12-20,727.95,733.75,727.95,733.75,1300,733.75
2016-12-19,722.30,722.95,718.85,719.20,1700,719.20
2016-12-16,720.00,720.90,712.05,712.05,900,712.05
2016-12-15,710.40,713.00,707.15,710.95,1100,710.95
2016-12-14,712.90,714.15,704.75,704.80,500,704.80
2016-12-13,707.70,715.95,707.70,715.95,700,715.95
2016-12-12,705.00,706.10,700.90,702.90,1400,702.90
2016-12-09,716.95,719.05,710.00,716.00,3700,716.00
2016-12-08,710.00,720.00,707.55,718.40,3000,718.40
2016-12-07,703.90,709.95,693.00,693.00,700,693.00
2016-12-06,691.85,693.45,689.25,690.15,600,690.15
2016-12-05,690.20,693.45,684.95,684.95,300,684.95
2016-12-02,688.60,688.75,685.50,687.05,2200,687.05
2016-12-01,700.90,703.50,691.05,697.65,1800,697.65
2016-11-30,696.45,698.05,689.90,690.65,1300,690.65
2016-11-29,675.00,675.85,667.85,667.85,600,667.85
2016-11-28,670.60,676.40,667.40,675.80,1000,675.80
2016-11-25,659.95,661.30,658.30,660.65,400,660.65
2016-11-24,662.00,662.40,658.00,659.20,100,659.20
2016-11-23,659.30,662.80,657.65,659.35,1700,659.35
2016-11-22,653.15,656.00,651.60,655.50,700,655.50
2016-11-21,632.80,637.65,632.80,637.65,400,637.65
2016-11-18,633.40,637.00,631.30,637.00,700,637.00
2016-11-17,623.00,633.00,622.00,633.00,1300,633.00
2016-11-16,620.15,633.95,615.80,621.35,500,621.35
2016-11-15,612.30,617.40,609.15,616.40,1500,616.40
2016-11-14,608.20,617.35,603.25,608.00,1600,608.00
2016-11-11,627.30,629.00,620.00,622.15,1500,622.15
2016-11-10,653.95,657.00,619.85,619.85,700,619.85
2016-11-09,630.20,643.00,627.65,643.00,1700,643.00
2016-11-08,649.95,652.30,647.95,650.50,400,650.50
2016-11-07,645.95,649.35,645.55,648.15,400,648.15
2016-11-04,637.70,637.70,625.00,625.00,600,625.00
2016-11-03,633.80,636.50,631.65,631.65,300,631.65
2016-11-02,643.45,643.45,633.00,642.65,1000,642.65
2016-11-01,656.30,657.05,644.75,644.75,300,644.75
2016-10-31,649.65,650.10,645.65,646.35,600,646.35
2016-10-28,641.20,645.50,639.35,639.85,1700,639.85
2016-10-27,630.00,633.00,626.90,626.90,1600,626.90
2016-10-26,632.50,633.05,618.05,621.00,2800,621.00
2016-10-25,644.50,644.50,640.40,641.25,1300,641.25
2016-10-24,650.30,650.50,641.60,645.10,600,645.10
2016-10-21,643.65,646.15,640.70,641.60,1100,641.60
2016-10-20,656.15,658.00,649.00,656.95,800,656.95
2016-10-19,655.25,669.95,653.60,662.50,1500,662.50
2016-10-18,636.05,644.20,635.25,642.95,1900,642.95
2016-10-17,632.90,635.15,630.65,632.05,1300,632.05
2016-10-14,629.95,632.10,628.00,630.95,1800,630.95
2016-10-13,618.20,624.90,611.60,617.45,1800,617.45
2016-10-12,602.60,617.15,593.85,615.50,7900,615.50
2016-10-11,611.60,624.00,605.00,615.00,6500,615.00
2016-10-10,666.00,676.00,662.80,669.50,3000,669.50
2016-10-07,685.00,688.00,681.60,681.60,2100,681.60
2016-10-06,674.50,677.00,670.00,676.00,6300,676.00
2016-10-05,648.00,662.35,645.55,659.85,2400,659.85
2016-10-04,650.20,655.00,648.00,648.00,1100,648.00
2016-10-03,645.25,645.25,645.25,645.25,000,645.25
2016-09-30,644.90,649.30,642.00,645.25,1800,645.25
2016-09-29,647.00,647.00,644.95,645.20,400,645.20
2016-09-28,635.25,636.15,631.20,632.00,1400,632.00
2016-09-27,634.70,636.30,628.20,629.45,1400,629.45
2016-09-26,627.85,627.85,614.30,616.85,4800,616.85
2016-09-23,631.85,632.00,621.90,624.35,800,624.35
2016-09-22,652.05,661.95,642.05,642.05,4000,642.05
2016-09-21,637.50,639.05,635.50,639.05,100,639.05
2016-09-20,628.65,632.00,626.30,629.80,1200,629.80
2016-09-19,620.90,622.00,617.95,619.50,1100,619.50
2016-09-16,606.15,608.10,600.00,600.00,400,600.00
2016-09-15,602.55,605.45,600.85,600.85,1000,600.85
2016-09-14,601.90,611.20,599.50,604.90,2100,604.90
2016-09-13,607.75,607.75,597.75,601.00,1800,601.00
2016-09-12,583.45,595.25,577.25,592.70,2600,592.70
2016-09-09,632.05,634.10,616.05,628.40,900,628.40
2016-09-08,660.40,661.50,654.95,655.70,100,655.70
2016-09-07,658.05,661.00,656.90,657.00,200,657.00
2016-09-06,661.45,662.85,659.50,659.50,500,659.50
2016-09-05,646.25,656.50,644.85,656.50,200,656.50
2016-09-02,641.60,642.45,632.35,637.05,1200,637.05
2016-09-01,633.70,640.00,633.70,640.00,1200,640.00
2016-08-31,652.25,660.00,646.85,660.00,1400,660.00
2016-08-30,655.50,659.75,655.50,657.50,1500,657.50
2016-08-29,648.50,652.00,648.45,652.00,300,652.00
2016-08-26,640.00,648.55,636.25,648.00,1000,648.00
2016-08-25,647.10,649.20,641.15,648.30,1000,648.30
2016-08-24,649.80,652.55,639.75,648.50,700,648.50
2016-08-23,662.00,663.60,659.45,661.40,500,661.40
2016-08-22,655.00,655.00,650.80,650.80,400,650.80
2016-08-19,657.15,666.50,655.65,666.50,1500,666.50
2016-08-18,649.20,650.90,647.00,650.00,1000,650.00
2016-08-17,623.55,624.80,619.20,621.75,500,621.75
2016-08-16,636.45,636.80,631.00,631.00,500,631.00
2016-08-15,625.00,634.85,624.00,634.85,600,634.85
2016-08-12,627.60,630.00,619.95,630.00,500,630.00
2016-08-11,631.55,635.00,630.90,635.00,500,635.00
2016-08-10,628.50,629.25,623.95,625.35,200,625.35
2016-08-09,636.70,638.00,635.20,638.00,300,638.00
2016-08-08,636.40,637.05,633.90,633.90,400,633.90
2016-08-05,628.60,638.55,627.95,638.55,1000,638.55
2016-08-04,610.20,614.20,609.00,614.20,300,614.20
2016-08-03,603.20,603.85,595.50,599.05,3600,599.05
2016-08-02,620.90,621.30,616.85,616.85,1900,616.85
2016-08-01,628.00,629.25,620.85,620.85,1000,620.85
2016-07-29,615.25,616.70,612.80,615.10,1400,615.10
2016-07-28,602.00,602.00,585.95,594.25,1100,594.25
2016-07-27,608.20,608.20,600.00,600.00,1300,600.00
2016-07-26,606.95,607.50,604.00,604.00,500,604.00
2016-07-25,598.25,598.30,592.15,592.80,600,592.80
2016-07-22,603.95,604.10,599.35,602.00,1500,602.00
2016-07-21,611.50,612.00,607.00,607.95,1300,607.95
2016-07-20,610.45,611.25,607.65,607.65,700,607.65
2016-07-19,606.75,608.50,604.15,608.50,1300,608.50
2016-07-18,606.30,614.85,606.30,614.85,500,614.85
2016-07-15,592.95,597.00,592.95,595.80,1800,595.80
2016-07-14,590.55,595.45,590.25,593.95,1400,593.95
2016-07-13,580.15,588.00,571.70,588.00,600,588.00
2016-07-12,570.20,572.00,570.20,571.15,100,571.15
2016-07-11,582.65,587.00,580.35,586.10,500,586.10
2016-07-08,565.60,573.95,560.00,560.00,1200,560.00
2016-07-07,562.15,563.85,557.15,557.15,900,557.15
2016-07-06,550.30,550.30,543.80,543.80,000,543.80
2016-07-05,568.35,568.35,562.35,562.35,800,562.35
2016-07-04,573.50,573.50,568.55,568.55,200,568.55
2016-07-01,574.45,574.50,566.60,568.40,1100,568.40
2016-06-30,554.05,559.95,552.00,559.60,600,559.60
2016-06-29,541.45,543.25,540.10,540.95,600,540.95
2016-06-28,538.00,538.85,535.50,536.00,200,536.00
2016-06-27,536.20,537.70,527.60,527.60,1500,527.145
2016-06-24,534.00,545.00,533.25,540.00,3000,539.534
2016-06-23,546.15,550.00,544.30,550.00,1200,549.526
2016-06-22,553.05,553.55,550.00,550.00,1300,549.526
2016-06-21,546.60,552.00,545.15,547.65,1600,547.178
2016-06-20,540.80,542.50,539.40,542.00,1500,541.533
2016-06-17,540.00,540.95,524.20,528.65,700,528.194
2016-06-16,528.25,534.25,527.50,533.55,900,533.09
2016-06-15,535.45,537.00,534.70,535.20,900,534.739
2016-06-14,519.80,522.25,519.15,522.25,200,521.80
2016-06-13,515.00,516.65,512.40,512.40,500,511.958
2016-06-10,530.00,530.10,527.45,527.70,700,527.245
2016-06-09,538.75,540.00,533.15,535.35,1400,534.888
2016-06-08,531.80,533.95,531.05,533.00,700,532.541
2016-06-07,528.00,529.80,527.70,529.00,2000,528.544
2016-06-06,518.75,518.75,510.55,517.70,1800,517.254
2016-06-03,519.30,520.00,510.25,510.25,3100,509.81
2016-06-02,511.45,512.15,510.40,511.85,1300,511.409
2016-06-01,499.00,509.15,498.30,505.95,1900,505.514
2016-05-31,486.45,489.10,486.40,488.70,1200,488.279
2016-05-30,483.00,483.00,479.90,479.90,500,479.486
2016-05-27,487.65,487.65,486.05,486.05,300,485.631
2016-05-26,491.45,493.50,487.25,487.25,2500,486.83
2016-05-25,488.70,492.85,483.50,483.50,300,483.083
2016-05-24,474.85,481.85,474.85,479.10,1200,478.687
2016-05-23,479.90,481.00,479.90,480.45,100,480.036
2016-05-20,475.00,475.00,473.95,474.05,000,473.641
2016-05-19,472.40,473.60,472.00,472.00,500,471.593
2016-05-18,473.00,474.00,472.50,473.15,200,472.742
2016-05-17,474.75,475.15,472.60,475.15,200,474.74
2016-05-16,470.00,470.00,470.00,470.00,000,469.595
2016-05-13,469.85,471.00,467.20,470.00,1400,469.595
2016-05-12,478.55,478.70,477.15,477.85,300,477.438
2016-05-11,481.45,484.05,481.40,483.35,200,482.933
2016-05-10,484.75,484.75,481.60,481.60,100,481.185
2016-05-09,485.05,485.05,484.85,484.85,000,484.432
2016-05-06,480.10,480.10,476.30,476.45,400,476.039
2016-05-05,479.85,485.90,479.85,480.50,500,480.086
2016-05-04,481.90,483.65,479.00,479.00,800,478.587
2016-05-03,473.80,475.60,471.85,473.15,200,472.742
2016-05-02,474.05,476.35,474.05,476.05,000,475.64
2016-04-29,478.70,479.95,473.80,473.80,300,473.392
2016-04-28,487.00,487.00,483.50,485.60,600,485.181
2016-04-27,497.00,497.00,495.25,495.50,200,495.073
2016-04-26,497.70,498.75,497.10,497.70,300,497.271
2016-04-25,495.00,495.00,490.35,490.35,400,489.927
2016-04-22,493.80,501.80,492.00,501.80,200,501.367
2016-04-21,501.75,502.05,499.75,500.10,700,499.669
2016-04-20,501.70,504.90,499.80,504.90,900,504.465
2016-04-19,499.85,500.60,496.00,496.00,1300,495.572
2016-04-18,497.85,498.70,496.60,498.60,600,498.17
2016-04-15,500.20,500.25,498.30,499.15,300,498.72
2016-04-14,495.70,497.50,495.70,497.50,200,497.071
2016-04-13,490.70,501.00,490.70,501.00,400,500.568
2016-04-12,486.50,488.40,486.50,487.35,300,486.93
2016-04-11,481.10,485.05,481.10,483.70,200,483.283
2016-04-08,472.75,475.70,472.00,472.00,1000,471.593
2016-04-07,480.00,480.00,477.90,478.65,300,478.237
2016-04-06,486.25,487.30,481.65,482.45,800,482.034
2016-04-05,476.65,477.30,475.35,476.95,600,476.539
2016-04-04,497.40,498.10,495.30,495.30,200,494.873
2016-04-01,486.70,487.60,484.80,486.50,900,486.081
