Date,Open,High,Low,Close,Volume,Adj Close
2017-03-31,135.80,137.30,135.50,136.60,1078400,136.60
2017-03-30,137.20,137.20,135.30,136.20,842300,136.20
2017-03-29,137.85,138.60,137.00,137.05,841500,137.05
2017-03-28,135.85,137.40,135.55,137.25,937200,137.25
2017-03-27,134.25,135.00,132.95,134.95,995000,134.95
2017-03-24,136.05,136.45,134.65,135.80,772500,135.80
2017-03-23,136.85,136.90,135.00,136.25,1033400,136.25
2017-03-22,133.30,136.55,132.65,136.35,1274600,136.35
2017-03-21,138.00,138.70,133.50,134.40,1853000,134.40
2017-03-20,138.25,138.40,136.60,137.15,851800,137.15
2017-03-17,139.00,139.00,136.35,138.60,2436300,138.60
2017-03-16,142.00,142.25,139.40,140.25,1401900,140.25
2017-03-15,141.65,141.75,138.20,140.25,2062100,140.25
2017-03-14,144.15,145.15,140.40,141.40,1654100,141.40
2017-03-13,141.55,144.30,140.75,144.15,1079000,144.15
2017-03-10,142.20,143.65,141.10,141.45,900800,141.45
2017-03-09,143.25,143.65,140.00,141.20,1407100,141.20
2017-03-08,144.15,146.15,142.95,143.05,1042400,143.05
2017-03-07,143.90,145.40,143.85,144.80,682400,144.80
2017-03-06,144.25,145.40,143.65,143.85,687100,143.85
2017-03-03,143.65,146.10,142.10,144.95,951400,144.95
2017-03-02,144.25,145.70,143.90,144.90,811000,144.90
2017-03-01,141.15,144.50,140.65,144.40,1383200,144.40
2017-02-28,140.75,141.20,139.70,139.70,947000,139.70
2017-02-27,143.00,143.15,139.55,140.00,1475400,140.00
2017-02-24,142.00,142.55,139.55,141.25,1334300,141.25
2017-02-23,141.35,143.50,141.10,141.65,799900,141.65
2017-02-22,144.80,145.00,139.90,141.35,1789200,141.35
2017-02-21,142.30,144.85,141.20,144.15,1090300,144.15
2017-02-20,142.00,142.85,140.80,142.15,746800,142.15
2017-02-17,143.00,143.30,139.05,140.25,1903200,140.25
2017-02-16,146.05,146.70,142.75,143.60,966400,143.60
2017-02-15,148.00,148.85,144.80,145.85,1012400,145.85
2017-02-14,145.35,147.60,144.25,146.85,942800,146.85
2017-02-13,142.55,146.00,142.50,145.25,1006300,145.25
2017-02-10,141.55,142.70,140.90,142.15,995800,142.15
2017-02-09,140.40,141.10,137.20,140.00,1286300,140.00
2017-02-08,141.55,142.05,138.05,139.90,1049700,139.90
2017-02-07,141.25,142.75,140.75,141.85,741200,141.85
2017-02-06,144.40,144.50,141.50,141.90,1243900,141.90
2017-02-03,144.70,145.80,144.15,144.90,765000,144.90
2017-02-02,145.20,145.50,143.70,144.30,998500,144.30
2017-02-01,146.35,147.15,144.80,145.70,1078400,145.70
2017-01-31,145.40,148.35,143.90,143.90,1615600,143.90
2017-01-30,148.10,149.00,145.30,145.50,1364700,145.50
2017-01-27,152.25,152.75,149.40,149.90,1310500,149.90
2017-01-26,154.80,154.95,151.95,152.50,1112300,152.50
2017-01-25,154.80,156.55,153.55,153.90,1751000,153.90
2017-01-24,154.00,154.90,151.90,153.60,1398300,153.60
2017-01-23,148.50,153.50,147.55,152.80,2461800,152.80
2017-01-20,147.40,148.60,146.45,148.20,1185000,148.20
2017-01-19,146.45,148.45,145.80,147.80,958100,147.80
2017-01-18,147.00,147.90,145.55,146.40,900300,146.40
2017-01-17,145.45,147.20,143.15,146.35,1407300,146.35
2017-01-16,147.40,148.35,146.05,146.30,982700,146.30
2017-01-13,148.50,150.90,147.05,149.55,1682200,149.55
2017-01-12,151.80,152.00,146.05,147.30,2087700,147.30
2017-01-11,148.00,152.15,147.00,151.00,3083900,151.00
2017-01-10,146.50,149.55,145.15,146.05,2345900,146.05
2017-01-09,140.00,145.95,139.80,145.85,2936900,145.85
2017-01-06,138.50,139.20,137.95,139.00,795800,139.00
2017-01-05,137.60,140.00,136.80,139.10,984900,139.10
2017-01-04,141.25,142.30,136.65,138.75,1570100,138.75
2017-01-03,138.95,143.10,138.95,140.45,2065700,140.45
2017-01-02,132.70,138.35,132.30,137.75,947300,137.75
2016-12-30,133.30,133.50,132.15,133.35,555700,133.35
2016-12-29,135.50,135.50,133.30,133.50,1189800,133.50
2016-12-28,136.95,137.75,136.50,136.60,634300,136.60
2016-12-27,137.55,138.95,136.90,137.25,642300,137.25
2016-12-26,137.50,137.50,137.50,137.50,000,137.50
2016-12-23,137.80,139.10,136.05,137.50,793800,137.50
2016-12-22,138.70,140.00,138.15,138.80,1234000,138.80
2016-12-21,136.95,139.00,136.60,138.80,1594400,138.80
2016-12-20,133.00,137.30,132.95,136.25,1748500,136.25
2016-12-19,130.90,133.75,129.45,133.65,1165500,133.65
2016-12-16,129.45,131.90,129.35,131.20,2022300,131.20
2016-12-15,128.40,130.15,128.05,129.95,1502600,129.95
2016-12-14,128.50,129.90,128.05,128.95,1005800,128.95
2016-12-13,127.00,129.80,126.75,129.15,1119600,129.15
2016-12-12,126.75,127.80,125.85,127.05,1062200,127.05
2016-12-09,127.85,128.55,125.80,128.10,1256000,128.10
2016-12-08,126.50,129.65,126.25,128.90,2457100,128.90
2016-12-07,122.95,127.00,122.75,127.00,2194500,127.00
2016-12-06,122.00,122.10,120.55,121.40,883800,121.40
2016-12-05,118.00,122.10,117.90,121.60,1111200,121.60
2016-12-02,118.65,119.30,117.20,118.75,1456600,118.75
2016-12-01,120.95,122.20,119.30,119.75,1148000,119.75
2016-11-30,122.50,123.00,121.35,121.80,715400,121.80
2016-11-29,122.50,123.00,120.85,122.60,899400,122.60
2016-11-28,124.20,124.20,122.25,122.70,933700,122.70
2016-11-25,124.60,125.30,124.10,125.10,1116500,125.10
2016-11-24,123.50,124.95,123.20,124.70,1116800,124.70
2016-11-23,122.40,123.30,121.50,123.00,1640900,123.00
2016-11-22,120.90,121.70,119.55,120.60,1112200,120.60
2016-11-21,118.45,120.80,117.65,120.10,1578900,120.10
2016-11-18,120.00,120.00,117.05,117.15,1220100,117.15
2016-11-17,117.10,118.60,116.25,117.55,821900,117.55
2016-11-16,118.50,119.80,116.50,118.05,1010000,118.05
2016-11-15,117.05,118.95,115.85,118.50,1321000,118.50
2016-11-14,117.60,118.90,115.55,117.00,1337000,117.00
2016-11-11,115.60,119.00,115.30,117.50,1694100,117.50
